"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"crol",4.22631418828162e-106,0.596912178722834,0.382,0.117,5.40883689816281e-102,"Undifferentiated - 4","crol"
"CG4612",1.38914670135576e-105,0.53637679296579,0.42,0.137,1.7778299483951e-101,"Undifferentiated - 4","CG4612"
"edl",2.164708444694e-105,1.26953066314384,0.192,0.024,2.77039386751938e-101,"Undifferentiated - 4","edl"
"Tsp96F",1.78095988242035e-104,0.949465065399074,0.217,0.036,2.27927245752157e-100,"Undifferentiated - 4","Tsp96F"
"cathD",1.6783695032961e-102,0.772695521914753,0.268,0.062,2.14797729031835e-98,"Undifferentiated - 4","cathD"
"ZAP3",1.2114567338098e-101,0.970370497861494,0.2,0.03,1.55042232792978e-97,"Undifferentiated - 4","ZAP3"
"Marf",1.80224231065594e-101,0.911985065173413,0.218,0.038,2.30650970917748e-97,"Undifferentiated - 4","Marf"
"UQCR-Q",5.18357096859638e-101,0.488444910540164,0.486,0.176,6.63393412560965e-97,"Undifferentiated - 4","UQCR-Q"
"CG42674",1.74132916440587e-100,1.03169215191612,0.224,0.042,2.22855306460663e-96,"Undifferentiated - 4","CG42674"
"CCAP-R",6.5928659640732e-100,1.53887309794571,0.156,0.012,8.43754986082088e-96,"Undifferentiated - 4","CCAP-R"
"SPR",6.78424181904057e-100,1.13391916590345,0.231,0.047,8.68247268000813e-96,"Undifferentiated - 4","SPR"
"COX7C",6.94010803651341e-100,0.489908461467123,0.525,0.199,8.88195026512986e-96,"Undifferentiated - 4","COX7C"
"rdx",2.35691931646746e-99,0.717992805180708,0.292,0.076,3.01638534121505e-95,"Undifferentiated - 4","rdx"
"CG11122",9.14344968166131e-99,1.02449490207217,0.179,0.022,1.17017869025901e-94,"Undifferentiated - 4","CG11122"
"CG13751",1.29010271430545e-98,0.6013587562558,0.325,0.093,1.65107345376812e-94,"Undifferentiated - 4","CG13751"
"mab-21",2.42608684820629e-98,1.3980031628469,0.168,0.018,3.10490594833441e-94,"Undifferentiated - 4","mab-21"
"CG11000",6.32558363058787e-98,0.860287658367081,0.234,0.048,8.09548193042635e-94,"Undifferentiated - 4","CG11000"
"dnc",2.55195114823094e-97,0.471717696193336,0.499,0.185,3.26598707950596e-93,"Undifferentiated - 4","dnc"
"Hr38",4.11495513028726e-97,1.12261637246121,0.181,0.024,5.26631957574164e-93,"Undifferentiated - 4","Hr38"
"Nrx-1",9.09210789012315e-97,0.608340626460208,0.293,0.077,1.16360796777796e-92,"Undifferentiated - 4","Nrx-1"
"tth",1.30606200491022e-96,0.931438925157137,0.191,0.029,1.6714981538841e-92,"Undifferentiated - 4","tth"
