"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SdhB.2",6.98294625300141e-09,0.109552430529749,0.254,0.089,8.93677461459121e-05,"12","SdhB"
"HINT1.1",8.03589129651789e-09,0.100266612943422,0.365,0.145,0.000102843336812836,"12","HINT1"
"Cyp1.6",1.07191333435237e-08,0.449228766137123,0.865,0.556,0.000137183468530417,"12","Cyp1"
"fwe",1.15771023857459e-08,0.142512322538179,0.175,0.053,0.000148163756332777,"12","fwe"
"mRpS18A",1.16057576720269e-08,-0.101087158770655,0.183,0.056,0.0001485304866866,"12","mRpS18A"
"mRpS11",1.20344674849935e-08,0.145562503145982,0.143,0.039,0.000154017114872947,"12","mRpS11"
"cpo.7",1.21622542788328e-08,-2.30949964524935,0.31,0.457,0.000155652530260502,"12","cpo"
"MagR",1.49282083175337e-08,0.226198576466602,0.143,0.04,0.000191051210047797,"12","MagR"
"lilli",1.63705476887043e-08,0.238299469607321,0.143,0.04,0.000209510269320038,"12","lilli"
"CG9034.2",1.66620288210383e-08,0.171497338845266,0.516,0.229,0.000213240644851649,"12","CG9034"
"rad.3",1.69108829245578e-08,-0.419218075824825,0.54,0.226,0.000216425479668491,"12","rad"
"CkIalpha",1.71111397388763e-08,-0.148195197300824,0.365,0.144,0.000218988366378138,"12","CkIalpha"
"prtp",1.81689504179116e-08,0.198181993424642,0.143,0.04,0.000232526227448433,"12","prtp"
"Larp4B",1.90128520345056e-08,0.125980113599884,0.27,0.099,0.000243326480337602,"12","Larp4B"
"Vha55.4",2.03271868902164e-08,0.24056910181537,0.714,0.345,0.000260147337820989,"12","Vha55"
"CG13907",2.14650788561783e-08,0.144699065023393,0.175,0.054,0.000274710079201369,"12","CG13907"
"ND-B14.5A.2",2.25463087818496e-08,0.23946344244521,0.333,0.135,0.000288547659790111,"12","ND-B14.5A"
"IscU.1",2.32409426238076e-08,0.111699584080301,0.246,0.088,0.000297437583699489,"12","IscU"
"Acbp1.2",2.38399802900431e-08,0.117015194831532,0.468,0.203,0.000305104067751971,"12","Acbp1"
"Nlg2.4",2.68044200996392e-08,0.13117646835634,0.563,0.258,0.000343042968435183,"12","Nlg2"
"CG8668",2.90348921585151e-08,0.297949210496312,0.222,0.078,0.000371588549844676,"12","CG8668"
"dally.5",3.00837131697428e-08,-2.39549671544001,0.063,0.27,0.000385011361146369,"12","dally"
"REPTOR-BP",3.43547924702919e-08,0.151019293187798,0.238,0.086,0.000439672634034796,"12","REPTOR-BP"
"MSBP",3.44691704692267e-08,0.276778981720418,0.143,0.041,0.000441136443665163,"12","MSBP"
