"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt:tRNA:Arg-TCG",1.39879656990099e-53,0.109713467419594,0.298,0.553,2.79759313980198e-50
"Dys",2.38261789670675e-53,-0.311743442587951,0.111,0.357,4.76523579341351e-50
"sano",4.04880599238906e-53,-0.134379410903037,0.139,0.37,8.09761198477812e-50
"CARPA",1.04107874011761e-52,-0.331905221802786,0.075,0.333,2.08215748023521e-49
"sNPF",1.15950939147912e-52,-0.101617454864024,0.112,0.356,2.31901878295823e-49
"CG31221",1.32120534440536e-52,-0.764722982985299,0.251,0.505,2.64241068881072e-49
"CG44422",2.21275638247342e-52,-0.812639269274565,0.198,0.43,4.42551276494684e-49
"RabX1",3.19939511647723e-52,-0.236480736411476,0.092,0.349,6.39879023295445e-49
"shg",3.2450634722145e-52,0.138164597118992,0.139,0.386,6.490126944429e-49
"DIP-eta",5.17659516141918e-52,-0.274085895842085,0.176,0.394,1.03531903228384e-48
"cu",6.77996092034042e-52,-0.356020324836506,0.14,0.387,1.35599218406808e-48
"par-1",7.39607440534681e-52,-0.278009665379837,0.134,0.378,1.47921488106936e-48
"Arpc3A",6.16905666775755e-51,-0.155448453171827,0.106,0.348,1.23381133355151e-47
"CG12594",7.52341884837159e-51,-0.490154180421694,0.092,0.114,1.50468376967432e-47
"Dsk",2.29426642977141e-50,-0.108499653026095,0.08,0.321,4.58853285954283e-47
"7B2",2.98474289398751e-50,-0.48383122334373,0.18,0.412,5.96948578797501e-47
"CG43347",3.26327124050792e-50,-0.890678615929289,0.2,0.433,6.52654248101583e-47
"Oatp74D",2.8415425086269e-49,-0.584526372268247,0.175,0.427,5.68308501725379e-46
"CG31663",3.33545564985096e-49,0.114915369488033,0.142,0.15,6.67091129970193e-46
"mRpL34",3.87601163146908e-49,-0.431935699729987,0.213,0.456,7.75202326293816e-46
"jing",4.01630225346971e-49,0.376284013212836,0.171,0.164,8.03260450693942e-46
"CG12239",4.38687996550407e-49,-0.158638348728613,0.254,0.504,8.77375993100815e-46
"Hsp67Bc",5.17049260023382e-49,-0.578852175270579,0.175,0.4,1.03409852004676e-45
"Dhfr",6.2414527810249e-49,0.210175328372919,0.157,0.399,1.24829055620498e-45
"Syp",1.39468359871246e-48,-1.54071708775576,0.161,0.485,2.78936719742492e-45
"RpL22",1.5837408002996e-48,0.14322310756894,0.237,0.472,3.1674816005992e-45
