"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"retn",1.55066467290371e-05,-0.260765823366503,0.226,0.202,0.0310132934580742
"feo",1.99654455732787e-05,0.499280329920051,0.69,0.913,0.0399308911465574
"RpS19a",2.25171124672042e-05,0.427708726984925,0.876,0.986,0.0450342249344085
"RpL13",2.28479958590221e-05,0.46575369268089,0.922,0.991,0.0456959917180442
"Hsc70Cb",2.33041800821986e-05,0.137076892898099,0.82,0.978,0.0466083601643972
"santa-maria",2.59296541823178e-05,0.36877570605674,0.32,0.382,0.0518593083646356
"CG43778",2.68551940235542e-05,0.171465913916154,0.341,0.348,0.0537103880471085
"RfC4",2.7611614572193e-05,-0.281485348171299,0.283,0.404,0.055223229144386
"CG4849",3.10257473119034e-05,-0.154830346827045,0.307,0.375,0.0620514946238068
"CG14036",3.19910572395564e-05,-0.357748695700263,0.065,0.181,0.0639821144791128
"alrm",3.26965242713483e-05,0.152477521485703,0.278,0.237,0.0653930485426965
"Drat",3.30531774805737e-05,0.754537372937661,0.872,0.963,0.0661063549611473
"Rgk1",3.44240661924265e-05,0.349757262541937,0.344,0.408,0.0688481323848531
"Prosap",3.7517747635481e-05,0.598645977913701,0.357,0.426,0.075035495270962
"tnc",4.10291212659624e-05,0.511053147899048,0.317,0.391,0.0820582425319248
"RpL7A",4.21671132449308e-05,0.341405893353287,0.907,0.995,0.0843342264898616
"fw",4.41392286689577e-05,-0.441900373346488,0.245,0.244,0.0882784573379155
"SIFa",5.05200438947785e-05,0.284085577629158,0.315,0.307,0.101040087789557
"Dhit",8.17801122371705e-05,0.632093100753475,0.414,0.482,0.163560224474341
"for",8.66457446048323e-05,1.07890837953603,0.509,0.506,0.173291489209665
"Con",0.000108741650948145,0.551464326362054,0.26,0.328,0.217483301896289
"Toll-7",0.000111003357037902,0.763987988563593,0.765,0.859,0.222006714075804
"Imp",0.0001157047506965,-0.840054878178115,0.895,0.942,0.231409501393
"sr",0.00012553980052517,0.191022830490117,0.324,0.353,0.251079601050339
"Wnt4",0.000129616590151808,1.16092820227143,0.572,0.604,0.259233180303615
"Swip-1",0.000136327355832779,0.453066874070782,0.337,0.422,0.272654711665559
"CG31690",0.000151466144287128,0.193681239607311,0.3,0.321,0.302932288574255
"RpL26",0.000159332863109791,0.230538478450055,0.972,0.999,0.318665726219581
"B-H1",0.000166063723345103,0.318097255430699,0.265,0.303,0.332127446690207
"tth",0.000177405968207628,0.530608394877384,0.545,0.688,0.354811936415256
"RpL37a",0.000177887705434324,0.227502247062438,0.942,0.996,0.355775410868647
"DopEcR",0.000183648940036628,0.173401955811878,0.323,0.297,0.367297880073256
"CrebA",0.000189139954458544,0.341210384999203,0.321,0.321,0.378279908917089
"CG34417",0.000201187215643749,0.569273075593289,0.34,0.421,0.402374431287498
"rdx",0.000210291635429367,0.30829456771167,0.503,0.589,0.420583270858735
"Mcm2",0.000214931697586576,-0.146389646547697,0.316,0.308,0.429863395173152
"CAP",0.00022526053848315,0.189162889472224,0.257,0.306,0.450521076966299
"HmgD",0.000243218599200837,0.292632298105339,0.899,0.979,0.486437198401675
"Mdh2",0.000257601291462453,0.167855619340551,0.219,0.23,0.515202582924907
"edl",0.000268077753526231,0.772968725201737,0.755,0.904,0.536155507052461
"IA-2",0.000269625325720228,0.582731517402239,0.542,0.69,0.539250651440457
"sub",0.000278108331157751,-0.213063001037753,0.09,0.174,0.556216662315502
"ec",0.000280839496643881,0.148414700531491,0.236,0.296,0.561678993287762
"RpS13",0.000285155196766617,0.171028145680761,0.985,0.997,0.570310393533235
"ara",0.000310390314656583,0.1981849130001,0.353,0.371,0.620780629313166
"CG15353",0.000330014905492224,0.564673274994245,0.285,0.336,0.660029810984449
"ari-2",0.000340824983190694,0.501585966556636,0.367,0.368,0.681649966381387
"RpS16",0.000347720394063902,0.245804866379997,0.912,0.994,0.695440788127805
"Fim",0.000357632168508142,0.309281141916647,0.371,0.445,0.715264337016284
"Dredd",0.000364166317698079,-0.128716723390407,0.239,0.199,0.728332635396158
