"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RpS27A",0.00059299952856614,0.410662645378824,0.924,0.999,1
"CG5757",0.000618084360966961,-0.347408903500473,0.165,0.306,1
"RpS30",0.000651337845889415,0.356434808457243,0.862,0.997,1
"MtnA",0.000794354598704811,1.08427571667186,0.547,0.788,1
"5-HT2A",0.000868756205647541,0.170858244695488,0.26,0.241,1
"Dhx15",0.000946514962009555,-0.196490656070872,0.131,0.165,1
"RpL6",0.00116764695537036,0.244396301317964,0.782,0.987,1
"pyd",0.00116806095851093,0.299560780327814,0.315,0.433,1
"slp2",0.00135812941235793,0.278320460521154,0.159,0.198,1
"CG10803",0.00150073310590168,-0.364419015758104,0.07,0.215,1
"RpS13",0.00156623864583273,0.110242078862813,0.931,0.997,1
"CG6891",0.00180156684101329,0.153046227493677,0.212,0.267,1
"lncRNA:CR46004",0.00186599759796471,0.115613073855787,0.116,0.17,1
"RpL30",0.00189185787110172,0.70687568057283,0.846,0.993,1
"ems",0.00198038642897566,0.148834576079247,0.224,0.208,1
"RpL27A",0.00199449544468624,0.306503531653389,0.891,0.997,1
"Proc",0.0020569178420072,0.278941502071247,0.276,0.293,1
"CG17454",0.00259515889615849,0.130513886639883,0.243,0.269,1
"loj",0.0026507826376623,-0.261841802286977,0.207,0.209,1
"Bx",0.00275264133823806,0.196190357846748,0.216,0.26,1
"E(spl)mbeta-HLH",0.0028122296516066,1.11127128103177,0.66,0.776,1
"mael",0.00282540577405021,-0.104143757257476,0.281,0.251,1
"Uhg2",0.00297843892902749,0.138226380408569,0.253,0.279,1
"RpS7",0.00299727746769305,0.329448829714164,0.886,0.997,1
"Nup93-1",0.00316724966153004,-0.156918875865438,0.089,0.13,1
"Dtg",0.00319332676217665,-0.235283286435635,0.27,0.317,1
"lncRNA:CR45388",0.00327699625832634,0.788359402060502,0.887,0.99,1
"CG5793",0.00341728281486469,0.142912749806734,0.208,0.196,1
"klg",0.00447598002654712,0.73169722355944,0.3,0.311,1
"tnc",0.00459527941309729,0.308069977975311,0.314,0.391,1
"CG13097",0.00459905315264472,-0.207107656186529,0.155,0.239,1
"Optix",0.00511152531418602,1.09827601978667,0.308,0.302,1
"Dfd",0.00513154079702248,0.104665357666469,0.247,0.292,1
"CG13252",0.00658904655815749,0.146062265652687,0.287,0.349,1
"RpL24",0.00756332433519043,0.512004344831242,0.836,0.989,1
"Mlc2",0.00761300386629189,0.174992669676225,0.296,0.301,1
"CG9149",0.00791489944772597,-0.18996371891639,0.159,0.188,1
"Liprin-gamma",0.00867344541406576,1.41280894095413,0.516,0.68,1
"RpS26",0.00890516464490362,0.34013466438076,0.905,0.999,1
"lncRNA:CR44272",0.0089810657293093,0.764627988048664,0.304,0.318,1
"RpS2",0.0104891509989188,0.137499495627557,0.858,0.997,1
"baz",0.0106620727861787,0.743694992224818,0.471,0.598,1
"CG5895",0.0108105069294167,0.124080352969418,0.255,0.311,1
"SIFa",0.0111450140200328,0.196428465034922,0.26,0.307,1
"H",0.0118379587450058,0.185295733669989,0.194,0.189,1
"VepD",0.0132299030129017,0.924614510715052,0.252,0.306,1
"atl",0.0136260893961654,-0.118551009641666,0.287,0.365,1
"RpL34b",0.0161085733747414,0.325839027381007,0.783,0.978,1
"E(spl)m6-BFM",0.0168564609553072,0.747401730208415,0.321,0.329,1
"RpS8",0.0168652279442408,0.521923044880112,0.857,0.994,1
"rst",0.0171067462234705,0.135584630082684,0.165,0.199,1
"Sp1",0.0171405538387121,2.22370113930974,0.455,0.471,1
"RpS5a",0.0178275702692601,0.350365089312785,0.873,0.996,1
"fne",0.0186794520265366,1.15020023742302,0.545,0.736,1
"ed",0.0195983258263804,0.145694774983966,0.192,0.296,1
"Dhfr",0.0207631096686526,-0.303436751284002,0.164,0.274,1
"CG15536",0.0240453521685584,-0.201665357939039,0.253,0.275,1
"Sfxn1-3",0.0240639402169829,0.302358442567319,0.28,0.332,1
"betaggt-II",0.0246045472444577,-0.259431815694032,0.219,0.288,1
"CG6724",0.0247411047383879,-0.164278795400837,0.145,0.18,1
"lncRNA:CR46006",0.0249083855336951,0.71098197277622,0.297,0.399,1
"RpL19",0.0253216396936808,0.173141014558974,0.885,0.996,1
"CG40472",0.0264014691860667,-0.222257382348724,0.199,0.234,1
"RpS28b",0.0266453780903333,0.453926678016118,0.862,0.996,1
"how",0.027409011267043,0.208567611373231,0.291,0.314,1
"Fer2LCH",0.028057576490755,0.519368438114243,0.693,0.924,1
"RpLP0",0.02834664512728,0.443450445818251,0.772,0.986,1
"Oaz",0.0293086733032067,0.393400449450882,0.205,0.248,1
"WRNexo",0.0301512895540592,-0.455602956490731,0.229,0.318,1
"CG13678",0.0319775195675236,0.249157349918218,0.277,0.296,1
"lncRNA:cherub",0.0376252236529814,0.150227472220806,0.97,0.997,1
"fabp",0.0396709588488914,0.383027766373685,0.682,0.966,1
"RpS16",0.0404458333610951,0.258652606653387,0.822,0.994,1
"gsb-n",0.0421918307012847,0.209329406084194,0.267,0.299,1
"Pisd",0.0429753818504051,-0.121257791357238,0.163,0.171,1
"pr",0.0489765562786778,-0.253033925100627,0.152,0.193,1
"Ppa",0.0521482387575271,-0.220808572538567,0.244,0.295,1
"RpS10b",0.0620946207839529,0.597433209315489,0.76,0.977,1
"CG13739",0.0623248449152997,0.118143234053132,0.259,0.279,1
"dpn",0.0675919309646026,-0.337191939561277,0.215,0.268,1
