"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ND-18",9.90553289082002e-22,0.993928500681208,0.2,0.075,1.26771009936715e-17,"atlas_1h_alh","ND-18"
"Rpt2",1.04515982476935e-21,-1.51924809681488,0.038,0.22,1.33759554373981e-17,"atlas_1h_alh","Rpt2"
"GLaz",1.07069061402913e-21,0.987676715281723,0.206,0.079,1.37026984783449e-17,"atlas_1h_alh","GLaz"
"mt:ND5",1.33760301982552e-21,-1.52540094982926,0.075,0.268,1.7118643447727e-17,"atlas_1h_alh","mt:ND5"
"Rbfox1",1.55970847815827e-21,-0.702148948271752,0.61,0.715,1.99611491034695e-17,"atlas_1h_alh","Rbfox1"
"RFeSP",1.61820672295603e-21,0.981761935837733,0.36,0.192,2.07098096403913e-17,"atlas_1h_alh","RFeSP"
"ERp60",1.88677995524074e-21,-1.65876511276172,0.03,0.205,2.4147009867171e-17,"atlas_1h_alh","ERp60"
"ATPsynD",1.92161229461624e-21,0.788405564050872,0.602,0.438,2.45927941464986e-17,"atlas_1h_alh","ATPsynD"
"Drep2",2.09564024475085e-21,1.27416084434486,0.224,0.094,2.68200038523213e-17,"atlas_1h_alh","Drep2"
"eIF4A",2.14956113579445e-21,-1.1124232137836,0.192,0.404,2.75100834158974e-17,"atlas_1h_alh","eIF4A"
"Pdp1",2.21058743675408e-21,0.889003132855919,0.434,0.25,2.82910980155787e-17,"atlas_1h_alh","Pdp1"
"Hsp83",2.90351853270875e-21,-1.48227132678247,0.075,0.264,3.71592301816066e-17,"atlas_1h_alh","Hsp83"
"ND-B18",3.06133131361536e-21,0.918286233742303,0.275,0.124,3.91789181516493e-17,"atlas_1h_alh","ND-B18"
"emb",3.19546903108518e-21,-1.18438174310877,0.095,0.299,4.08956126598281e-17,"atlas_1h_alh","emb"
"ND-19",4.08778306770893e-21,0.848368876117675,0.255,0.109,5.23154477005389e-17,"atlas_1h_alh","ND-19"
"shep",4.29597518292571e-21,-0.669113470149745,0.451,0.663,5.49798903910832e-17,"atlas_1h_alh","shep"
"NHP2",5.14483248012721e-21,0.934057349468808,0.198,0.075,6.5843566080668e-17,"atlas_1h_alh","NHP2"
"Msr-110",7.01052860289517e-21,-1.51374343699579,0.075,0.262,8.97207450598524e-17,"atlas_1h_alh","Msr-110"
"Cpsf6",1.229170391153e-20,-1.36384386593832,0.055,0.238,1.57309226659761e-16,"atlas_1h_alh","Cpsf6"
"aqz",3.26865103483678e-20,-0.929446303352957,0.259,0.464,4.18321959438411e-16,"atlas_1h_alh","aqz"
"Mapmodulin",3.59862336738968e-20,-1.14473527122233,0.178,0.375,4.60551818558531e-16,"atlas_1h_alh","Mapmodulin"
"CG10470",5.77438055109925e-20,0.847634895426289,0.253,0.112,7.39005222929682e-16,"atlas_1h_alh","CG10470"
"mRpL42",6.22380416955784e-20,0.961379680947761,0.17,0.061,7.96522457620013e-16,"atlas_1h_alh","mRpL42"
"mt:srRNA",6.26275597359182e-20,-1.86552698382852,0.018,0.178,8.01507509500282e-16,"atlas_1h_alh","mt:srRNA"
"Tet",1.10861844234658e-19,-1.70213577510633,0.036,0.2,1.41880988251516e-15,"atlas_1h_alh","Tet"
"CG12171",1.25945122040068e-19,0.988747842193032,0.174,0.064,1.61184567186879e-15,"atlas_1h_alh","CG12171"
"Toll-7",1.46375495499168e-19,-1.47132768180886,0.091,0.275,1.87331359139835e-15,"atlas_1h_alh","Toll-7"
"pum",1.5577925839002e-19,0.768824796133221,0.628,0.475,1.99366294887548e-15,"atlas_1h_alh","pum"
"CG44325",1.83918347441543e-19,1.05307826073314,0.44,0.278,2.35378701055687e-15,"atlas_1h_alh","CG44325"
"RpL4",2.13505307129424e-19,-0.965821660131542,0.293,0.481,2.73244092064237e-15,"atlas_1h_alh","RpL4"
"hdly",3.62041593226761e-19,-1.26507659905277,0.046,0.217,4.63340831011609e-15,"atlas_1h_alh","hdly"
"Pdcd4",4.15658417414468e-19,-1.2780305465659,0.093,0.277,5.31959642607036e-15,"atlas_1h_alh","Pdcd4"
"GstE2",5.04734888389005e-19,0.835906865142801,0.259,0.117,6.45959710160248e-15,"atlas_1h_alh","GstE2"
"myo",5.11386916035046e-19,-1.67483453000929,0.032,0.192,6.54472975141652e-15,"atlas_1h_alh","myo"
"CG34417",5.67474397447776e-19,-1.22019378710763,0.073,0.254,7.26253733853663e-15,"atlas_1h_alh","CG34417"
"RpII18",6.60138909390075e-19,0.844147436870865,0.281,0.134,8.44845776237417e-15,"atlas_1h_alh","RpII18"
"osa",6.64620867200716e-19,-1.53854696697993,0.016,0.168,8.50581785843477e-15,"atlas_1h_alh","osa"
"eEF1gamma",9.28207379754635e-19,-1.24851361796493,0.141,0.323,1.18791980460998e-14,"atlas_1h_alh","eEF1gamma"
"Tom7",9.29750577388557e-19,0.726953391007789,0.62,0.457,1.18989478894188e-14,"atlas_1h_alh","Tom7"
"Vha36-1",1.49270246975467e-18,0.830884258702385,0.289,0.142,1.91036062079203e-14,"atlas_1h_alh","Vha36-1"
"eff",2.2250167825277e-18,-1.29321394182464,0.129,0.31,2.84757647827895e-14,"atlas_1h_alh","eff"
"Wnt4",3.61430138546946e-18,-1.1693422816213,0.147,0.338,4.62558291312381e-14,"atlas_1h_alh","Wnt4"
"HmgD",4.46804638184891e-18,-1.03127285460051,0.154,0.348,5.71820575949024e-14,"atlas_1h_alh","HmgD"
"Usp7",7.41962243205466e-18,-1.02061848597379,0.17,0.36,9.49563278854355e-14,"atlas_1h_alh","Usp7"
"CNBP",7.94870441763193e-18,-0.854860401131584,0.37,0.533,1.01727519136853e-13,"atlas_1h_alh","CNBP"
"trn",8.39736427598795e-18,-1.31974409707081,0.107,0.287,1.07469468004094e-13,"atlas_1h_alh","trn"
"kis",8.84423875389556e-18,-1.73735505874816,0.016,0.158,1.13188567572355e-13,"atlas_1h_alh","kis"
"Hsp23",1.21570935263563e-17,-1.55041961309234,0.02,0.166,1.55586482950308e-13,"atlas_1h_alh","Hsp23"
"wdp",1.2258608690474e-17,-1.41275688690304,0.032,0.185,1.56885674020686e-13,"atlas_1h_alh","wdp"
"Gabat",1.2486043090906e-17,-0.998506852292198,0.236,0.418,1.59796379477415e-13,"atlas_1h_alh","Gabat"
"crc",1.27862274401424e-17,-1.2242780561953,0.085,0.255,1.63638138778942e-13,"atlas_1h_alh","crc"
"rho",1.29939124736133e-17,-1.89837514212293,0.018,0.159,1.66296091837303e-13,"atlas_1h_alh","rho"
"mt:ND1",1.47835385411558e-17,-1.16662922023365,0.091,0.263,1.89199726249713e-13,"atlas_1h_alh","mt:ND1"
"CG5955",2.54871647445701e-17,0.951358287373865,0.461,0.305,3.26184734401008e-13,"atlas_1h_alh","CG5955"
