"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG3817",0,0.436198847750844,0.253,0.028,0,"33","CG3817"
"Ubc2.1",0,0.436187736469205,0.45,0.076,0,"33","Ubc2"
"CG2926",0,0.435794188961487,0.428,0.066,0,"33","CG2926"
"CG9586",0,0.435661567327669,0.261,0.029,0,"33","CG9586"
"CG14327",0,0.435322311180079,0.107,0.001,0,"33","CG14327"
"CG42239",0,0.435273444330055,0.448,0.071,0,"33","CG42239"
"Rpb12.1",0,0.43525174235236,0.509,0.099,0,"33","Rpb12"
"CG3847",0,0.43511694805839,0.229,0.019,0,"33","CG3847"
"agt",0,0.434862354330373,0.16,0.008,0,"33","agt"
"apt",0,0.434686959324454,0.221,0.018,0,"33","apt"
"snRNP-U1-C",0,0.434188974658739,0.322,0.04,0,"33","snRNP-U1-C"
"CG44303",0,0.434099996121104,0.139,0.005,0,"33","CG44303"
"CG43340",0,0.432734882021744,0.141,0.003,0,"33","CG43340"
"bigmax",0,0.432478829412764,0.198,0.014,0,"33","bigmax"
"Rlb1",0,0.432041012144757,0.278,0.031,0,"33","Rlb1"
"CG13625.4",0,0.431957681270073,0.45,0.075,0,"33","CG13625"
"CG7483",0,0.43124168770676,0.276,0.028,0,"33","CG7483"
"Pomp.4",0,0.43099244621682,0.684,0.155,0,"33","Pomp"
"Mtor",0,0.430828495271905,0.314,0.038,0,"33","Mtor"
"asl",0,0.430691165789092,0.173,0.01,0,"33","asl"
"Ibf2",0,0.429635691235396,0.245,0.024,0,"33","Ibf2"
"l(2)k09848",0,0.42885839339102,0.192,0.014,0,"33","l(2)k09848"
"Inx3.1",0,0.428112179535519,0.206,0.018,0,"33","Inx3"
"Pgm2a",0,0.427803720217593,0.262,0.031,0,"33","Pgm2a"
"CG15536",0,0.427112585489368,0.199,0.016,0,"33","CG15536"
"eIF3g1.2",0,0.42668089759799,0.546,0.108,0,"33","eIF3g1"
"Pgam5",0,0.426058829735382,0.246,0.026,0,"33","Pgam5"
"mRpL42.1",0,0.42598393037098,0.48,0.086,0,"33","mRpL42"
"Task6.2",0,0.425700491011406,0.536,0.098,0,"33","Task6"
"Nuf2",0,0.425170463036516,0.161,0.008,0,"33","Nuf2"
"ken.5",0,0.424620537647746,0.322,0.042,0,"33","ken"
"CG8778",0,0.424291785095576,0.272,0.033,0,"33","CG8778"
"ana2",0,0.423817163626904,0.144,0.007,0,"33","ana2"
"Bdbt",0,0.423649635908751,0.228,0.021,0,"33","Bdbt"
"sub",0,0.423496482568833,0.14,0.006,0,"33","sub"
"TppII",0,0.423283084171967,0.207,0.018,0,"33","TppII"
"CG10576.2",0,0.42306718308363,0.38,0.055,0,"33","CG10576"
"mRpS29",0,0.423046390579488,0.247,0.028,0,"33","mRpS29"
"CG14036",0,0.422995953696597,0.132,0.002,0,"33","CG14036"
"MrgBP",0,0.422553572622527,0.314,0.04,0,"33","MrgBP"
"Mcm10",0,0.422163312465741,0.127,0.005,0,"33","Mcm10"
"mRpL40",0,0.420746174646316,0.342,0.048,0,"33","mRpL40"
"udd",0,0.420045660623134,0.26,0.028,0,"33","udd"
"Rpn11",0,0.418674704562523,0.464,0.075,0,"33","Rpn11"
"koi",0,0.418470343332621,0.269,0.032,0,"33","koi"
"wech",0,0.416300572013689,0.474,0.081,0,"33","wech"
"gammaTub23C",0,0.415743205604733,0.218,0.021,0,"33","gammaTub23C"
"peng",0,0.415736214835004,0.16,0.012,0,"33","peng"
"zda",0,0.41569469184431,0.383,0.056,0,"33","zda"
"Cdk2",0,0.415287295182312,0.221,0.019,0,"33","Cdk2"
"tll.1",0,0.415182560697414,0.182,0.015,0,"33","tll"
"Nup75",0,0.415120159517639,0.17,0.01,0,"33","Nup75"
"CG3663",0,0.414378949966777,0.209,0.015,0,"33","CG3663"
"ash2",0,0.41422197555159,0.201,0.018,0,"33","ash2"
"Tnpo",0,0.413336035803108,0.452,0.073,0,"33","Tnpo"
"Rbp1.1",0,0.409867291349668,0.422,0.067,0,"33","Rbp1"
"CG12702",0,0.408729975714292,0.133,0.005,0,"33","CG12702"
"Syx8",0,0.408342713960136,0.242,0.025,0,"33","Syx8"
"HIP",0,0.408267062015515,0.179,0.014,0,"33","HIP"
"CG33051",0,0.406604533534207,0.216,0.019,0,"33","CG33051"
"Gp93",0,0.406325270268718,0.424,0.063,0,"33","Gp93"
"CG12499",0,0.405567463792039,0.19,0.015,0,"33","CG12499"
"RecQ4",0,0.404287860609364,0.14,0.005,0,"33","RecQ4"
"eIF3h.1",0,0.404027931690025,0.529,0.104,0,"33","eIF3h"
"Rpn13",0,0.401412309250424,0.361,0.049,0,"33","Rpn13"
"betaTub60D",0,0.401346291526927,0.159,0.01,0,"33","betaTub60D"
"CG5515",0,0.401323144332653,0.336,0.049,0,"33","CG5515"
