"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG42613",3.21135879946384e-16,0.509727270031809,0.19,0.078,4.10989699155383e-12,"atlas_24h_alh","CG42613"
"inaE",3.45101257369237e-16,0.405028636518873,0.175,0.068,4.4166058918115e-12,"atlas_24h_alh","inaE"
"E(Pc)",3.49033034364611e-16,0.330027651736407,0.196,0.081,4.4669247737983e-12,"atlas_24h_alh","E(Pc)"
"fs(1)h",4.33319283568258e-16,0.245373005405004,0.445,0.258,5.54562019110657e-12,"atlas_24h_alh","fs(1)h"
"Eph",5.04387506189461e-16,0.3722763696575,0.231,0.105,6.45515130421272e-12,"atlas_24h_alh","Eph"
"stai.1",5.61066229295856e-16,0.273340468566987,0.478,0.282,7.18052560252837e-12,"atlas_24h_alh","stai"
"tow",9.77222502884996e-16,0.402482264990385,0.265,0.134,1.25064935919222e-11,"atlas_24h_alh","tow"
"Ndf.1",1.23819331161021e-15,0.339075936002056,0.269,0.133,1.58463980019875e-11,"atlas_24h_alh","Ndf"
"RpL10.1",2.51637240574266e-15,0.233164119189917,0.939,0.78,3.22045340486946e-11,"atlas_24h_alh","RpL10"
"ImpE1.1",2.64509070015005e-15,-0.843754397928161,0.198,0.307,3.38518707805203e-11,"atlas_24h_alh","ImpE1"
"dco",3.42541721519728e-15,0.313902999745693,0.267,0.133,4.38384895200948e-11,"atlas_24h_alh","dco"
"CG9705.1",3.92234163571393e-15,0.196325256201374,0.493,0.296,5.01981282538668e-11,"atlas_24h_alh","CG9705"
"Pen.1",4.77700437736326e-15,0.158637656330589,0.69,0.459,6.11361020214950e-11,"atlas_24h_alh","Pen"
"CG13887.1",7.88338846871774e-15,0.224925612001067,0.413,0.239,1.0089160562265e-10,"atlas_24h_alh","CG13887"
"RpL26.1",1.5631270695615e-14,0.23076007017527,0.919,0.731,2.0004900236248e-10,"atlas_24h_alh","RpL26"
"CG4612.1",2.51300388384196e-14,0.342366003563465,0.256,0.132,3.21614237054094e-10,"atlas_24h_alh","CG4612"
"wcy",3.61755066150672e-14,0.354685671814812,0.18,0.077,4.62974133659631e-10,"atlas_24h_alh","wcy"
"SmD3",3.78357872461708e-14,0.323183549817583,0.29,0.158,4.84222405176494e-10,"atlas_24h_alh","SmD3"
"CG32354.1",4.74686492909272e-14,0.345007848903984,0.311,0.17,6.07503773625286e-10,"atlas_24h_alh","CG32354"
"Paip2",5.59984031463389e-14,0.333692840034816,0.232,0.115,7.16667563466845e-10,"atlas_24h_alh","Paip2"
"Chchd2.1",6.00967886418914e-14,0.229085830354774,0.363,0.209,7.69118701038926e-10,"atlas_24h_alh","Chchd2"
"hth.1",6.04918492854839e-14,0.224065203726799,0.369,0.213,7.74174687155623e-10,"atlas_24h_alh","hth"
"Pdcd4.1",6.25572508103502e-14,0.169744212651073,0.483,0.291,8.00607695870861e-10,"atlas_24h_alh","Pdcd4"
"RpL19.1",1.09952932531549e-13,0.21317813855116,0.938,0.789,1.40717763053877e-09,"atlas_24h_alh","RpL19"
"br.1",1.23074614243481e-13,0.249904447884179,0.323,0.182,1.57510891308807e-09,"atlas_24h_alh","br"
"chic.1",1.39451191806097e-13,0.171094423237647,0.452,0.269,1.78469635273443e-09,"atlas_24h_alh","chic"
"unc-119",1.66941543471529e-13,0.220301151481203,0.279,0.145,2.13651787334862e-09,"atlas_24h_alh","unc-119"
"Appl",2.11048896014255e-13,0.364162255718707,0.189,0.085,2.70100377119044e-09,"atlas_24h_alh","Appl"
"Atg13.1",3.4018851453596e-13,0.220758810613334,0.221,0.107,4.35373260903122e-09,"atlas_24h_alh","Atg13"
"RpL11",4.23489615439608e-13,0.238770917791107,0.856,0.654,5.4198200983961e-09,"atlas_24h_alh","RpL11"
"CG32767",4.81838489525441e-13,0.231565396376484,0.266,0.139,6.16656898894659e-09,"atlas_24h_alh","CG32767"
"slgA",5.36524110257771e-13,0.354937446795854,0.214,0.106,6.86643556307896e-09,"atlas_24h_alh","slgA"
"RpL7A",5.47114441956135e-13,0.209961155396143,0.861,0.64,7.00197062815461e-09,"atlas_24h_alh","RpL7A"
"cpo.1",5.89868362750364e-13,0.289716188446328,0.373,0.224,7.54913530647915e-09,"atlas_24h_alh","cpo"
"dnc.1",6.82783204735439e-13,0.177308926532955,0.394,0.235,8.73825945420414e-09,"atlas_24h_alh","dnc"
"PAN3.1",7.00905322941491e-13,0.210283966284396,0.305,0.17,8.9701863230052e-09,"atlas_24h_alh","PAN3"
"Dsp1",8.68032598850791e-13,0.185942205682937,0.589,0.391,1.11090812000924e-08,"atlas_24h_alh","Dsp1"
"luna.1",1.14780157275881e-12,0.257756010281204,0.431,0.266,1.46895645281673e-08,"atlas_24h_alh","luna"
"Sar1",1.9543173642641e-12,0.303483496271451,0.276,0.155,2.5011353627852e-08,"atlas_24h_alh","Sar1"
"CG32369",2.39873751354779e-12,0.280422018352149,0.197,0.095,3.06990426983847e-08,"atlas_24h_alh","CG32369"
"Hsc70-3.1",3.04255446445127e-12,0.161211969633477,0.375,0.225,3.89386120360474e-08,"atlas_24h_alh","Hsc70-3"
"Pdp1.1",3.26699193444323e-12,0.290758699593068,0.366,0.221,4.18109627770044e-08,"atlas_24h_alh","Pdp1"
"nmo",4.24699835940474e-12,0.314309241121222,0.264,0.147,5.43530850036619e-08,"atlas_24h_alh","nmo"
"RpL30",6.21943786498821e-12,0.227819248232851,0.848,0.644,7.95963657961191e-08,"atlas_24h_alh","RpL30"
"Ggamma1",6.56624871241593e-12,0.232767056943279,0.33,0.196,8.40348510214991e-08,"atlas_24h_alh","Ggamma1"
"RpL32",7.16518108088978e-12,0.208249614108277,0.935,0.8,9.16999874732274e-08,"atlas_24h_alh","RpL32"
"SNRPG",7.93119497162806e-12,0.178407127184878,0.403,0.248,1.01503433246896e-07,"atlas_24h_alh","SNRPG"
"Nrg",8.02889340890392e-12,0.206068272794542,0.787,0.567,1.02753777847152e-07,"atlas_24h_alh","Nrg"
"RpS9",9.16000995835278e-12,0.209897441684373,0.892,0.698,1.17229807446999e-07,"atlas_24h_alh","RpS9"
"RpL23A",1.00723938573054e-11,0.195948063599207,0.769,0.54,1.28906496585795e-07,"atlas_24h_alh","RpL23A"
"Gbeta13F",1.51329288856051e-11,0.235766678806716,0.692,0.483,1.93671223877974e-07,"atlas_24h_alh","Gbeta13F"
