"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Proc",9.73983834228917e-21,-0.169635653859799,0.266,0.218,1.94796766845783e-17
"RpL3",1.03450310645204e-20,-0.308557619541041,0.93,0.949,2.06900621290407e-17
"lncRNA:CR33938",1.17984757877929e-20,-0.54710492534576,0.29,0.38,2.35969515755858e-17
"WRNexo",1.22240957084795e-20,0.647936358329764,0.374,0.339,2.4448191416959e-17
"RpS5a",2.2099879384888e-20,-0.226849191423758,0.953,0.963,4.41997587697761e-17
"Naa40",2.27951130775658e-20,0.371376314023861,0.251,0.347,4.55902261551317e-17
"Hsp68",2.34032772387643e-20,-0.342723224937849,0.258,0.364,4.68065544775286e-17
"spz4",2.99352176498776e-20,0.170514296454673,0.235,0.35,5.98704352997553e-17
"Ts",3.21072551259118e-20,0.206650573193658,0.284,0.249,6.42145102518235e-17
"RpL30",3.36750675384791e-20,-0.211555441317256,0.921,0.945,6.73501350769581e-17
"RpS11",3.38279308730844e-20,-0.156466100029737,0.962,0.972,6.76558617461688e-17
"grh",4.09842239266796e-20,-0.552225306031351,0.357,0.471,8.19684478533593e-17
"RpL17",5.42964828037189e-20,-0.258343623706246,0.95,0.956,1.08592965607438e-16
"Mdh2",6.77305863215339e-20,-0.268619558353741,0.219,0.337,1.35461172643068e-16
"aurB",7.01577087374075e-20,0.309275133724926,0.271,0.381,1.40315417474815e-16
"stau",7.95647410567376e-20,0.382534821991182,0.257,0.201,1.59129482113475e-16
"RpL11",1.05108680522307e-19,-0.237953195188448,0.933,0.954,2.10217361044613e-16
"CG5757",1.96604450979762e-19,0.152970022926989,0.138,0.226,3.93208901959525e-16
"sm",2.20005677885935e-19,0.434207906738487,0.576,0.541,4.40011355771869e-16
"RpL36A",2.56959646628778e-19,-0.217206420486801,0.947,0.963,5.13919293257556e-16
"rdgA",5.74983772359621e-19,-0.156818538364815,0.188,0.286,1.14996754471924e-15
"eIF2beta",6.58000106866998e-19,-0.124493152404632,0.845,0.903,1.316000213734e-15
"r",7.28798625262355e-19,-0.202632882254845,0.237,0.323,1.45759725052471e-15
"RpS27",8.28697595991261e-19,-0.137067814567871,0.991,0.99,1.65739519198252e-15
"kkv",1.30593484907925e-18,-0.137665340442377,0.098,0.205,2.6118696981585e-15
"Crz",1.38964196060907e-18,-0.123467308346647,0.164,0.273,2.77928392121813e-15
"ab",1.88748166227106e-18,-0.312730525559299,0.404,0.483,3.77496332454211e-15
"Prosalpha6",1.90793530808335e-18,0.127087066385916,0.415,0.527,3.81587061616669e-15
"Ten-a",2.09476152257542e-18,0.513669296968736,0.621,0.575,4.18952304515085e-15
"jim",3.56020958129311e-18,-0.182723030166962,0.582,0.708,7.12041916258622e-15
"RpS8",4.17715400096284e-18,-0.176737576802664,0.94,0.961,8.35430800192568e-15
"hbs",4.34180649973379e-18,0.352664364870434,0.269,0.348,8.68361299946759e-15
"Galphai",5.33956421717876e-18,0.332590868509299,0.774,0.751,1.06791284343575e-14
"cas",9.20711107287247e-18,0.301344721959893,0.336,0.335,1.84142221457449e-14
"SNRPG",9.8845166177661e-18,0.342001136417398,0.755,0.714,1.97690332355322e-14
"CG11790",1.22053832959816e-17,0.221066648319347,0.176,0.142,2.44107665919632e-14
"fkh",1.50472830373265e-17,0.338746002613426,0.32,0.412,3.0094566074653e-14
"hoip",1.7702350498666e-17,-0.847689361363553,0.336,0.455,3.54047009973319e-14
"Cwc25",2.87667876695577e-17,0.325851784203533,0.298,0.388,5.75335753391154e-14
"Gapdh2",2.92276223839333e-17,-0.319295168171199,0.58,0.695,5.84552447678666e-14
"CG3655",4.00301145094006e-17,-0.254094794125412,0.231,0.327,8.00602290188012e-14
"CG43759",5.40904737997028e-17,-0.461979174890974,0.481,0.581,1.08180947599406e-13
"hzg",5.55261084774761e-17,-0.242420995439946,0.4,0.489,1.11052216954952e-13
"CG30159",6.8930160171639e-17,-0.138918899653869,0.252,0.345,1.37860320343278e-13
"P32",7.38546757595552e-17,-0.269956945312937,0.321,0.422,1.4770935151911e-13
