"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Odj",0.0148805895177739,0.145367726944014,0.154,0.07,1
"EndoA",0.0153140478530598,-0.141571291509596,0.236,0.16,1
"MFS9",0.0172846470580275,-0.317448895667606,0.342,0.285,1
"acj6",0.0178932923727339,-0.673790615674138,0.209,0.181,1
"Rok",0.021894192179148,0.293109358787848,0.237,0.204,1
"VGlut",0.023615483726731,-0.162334771080225,0.153,0.095,1
"mnd",0.0241687331961762,0.21756232623153,0.315,0.242,1
"klg",0.0270244037465807,-1.72486178869385,0.3,0.293,1
"twit",0.0270498395919352,-0.283708782647816,0.245,0.19,1
"Oatp74D",0.027514909520444,0.115246706013924,0.243,0.175,1
"hdly",0.0281657932387637,0.334305627094216,0.239,0.172,1
"CG11267",0.0291831549345759,-0.219919601130875,0.351,0.277,1
"CG43347",0.0293216362048957,-0.240142451330748,0.237,0.2,1
"CG6891",0.0308694118694914,-0.174672154832746,0.212,0.151,1
"Rac2",0.0308928084061703,0.233531205237511,0.23,0.2,1
"ari-2",0.0310756781039628,-0.282069862441685,0.225,0.164,1
"AdamTS-B",0.0315363404338618,0.111068078059176,0.244,0.182,1
"CG31705",0.032725345409313,-0.103740289720109,0.223,0.193,1
"CG5787",0.0337329581197996,0.108207428073472,0.172,0.104,1
"Pglym78",0.0358059564854606,-0.245491474858633,0.331,0.27,1
"CG12290",0.0360123369175546,0.134041467145591,0.242,0.182,1
"mud",0.0370293026989983,0.709270777967107,0.226,0.19,1
"mt:ND6",0.0373453683349904,-0.354048755753975,0.243,0.222,1
"sna",0.040342123056509,-0.133666848839071,0.264,0.203,1
"Gs2",0.0428049090438538,-0.181627826164617,0.359,0.333,1
"VepD",0.0432380472883926,0.379806601302431,0.252,0.196,1
"CG43340",0.0455035682603347,0.172033889024733,0.191,0.159,1
"Cwc25",0.0490065958144073,0.115755004109084,0.207,0.176,1
"Rtnl1",0.0532540195349685,-0.418088786670928,0.266,0.206,1
"lncRNA:CR45593",0.0534853579311383,-0.433201931167248,0.212,0.164,1
"CG43085",0.0537820843662224,-0.260738083327729,0.203,0.176,1
"hzg",0.0545459113576876,-0.180644705086817,0.305,0.241,1
"CG5793",0.0555206991326463,-0.11790029796978,0.208,0.177,1
"Mcm5",0.0572796168221163,0.257535625553358,0.215,0.143,1
"CG9686",0.0597820517609803,-0.347758602475607,0.254,0.223,1
"CG14566",0.0624059523212176,-0.111492205776275,0.202,0.144,1
"Hil",0.0638163413638844,0.116059991050531,0.177,0.13,1
"Con",0.0671522414202632,-1.30064693387904,0.278,0.262,1
"CG32409",0.0687596936734705,0.368356907795401,0.215,0.149,1
"ab",0.0691867310328781,0.122574082721839,0.277,0.216,1
"peb",0.072552683926118,0.303179747197134,0.194,0.153,1
"hppy",0.0741022357857082,-0.160679849029635,0.246,0.197,1
"Hsp60A",0.0744280355127635,0.15397849845969,0.164,0.131,1
"La",0.0834179797490215,0.160626188844386,0.162,0.091,1
"RPA2",0.0885053400339869,0.322598937909605,0.183,0.138,1
"RpL27A",0.0922761507579203,-0.177543019790421,0.891,0.826,1
"ct",0.0947036071004086,-0.190039681564805,0.641,0.55,1
"Six4",0.0976848184301587,0.359154808666454,0.239,0.184,1
"Pkc53E",0.1005405852102,0.231797131073475,0.256,0.199,1
"CG9016",0.102817019561441,-0.333539044331578,0.222,0.175,1
"Idh",0.104745108998173,-0.113109108951694,0.202,0.146,1
"Prat",0.105183790413173,0.107949785976063,0.108,0.048,1
"Mcm6",0.10611215493997,0.27261470260607,0.202,0.166,1
"CG42489",0.106483856035645,-0.152547544351639,0.211,0.173,1
"CG31075",0.107415083981466,0.142668233990898,0.172,0.106,1
"CG42450",0.109649524388721,-0.176328428082914,0.189,0.132,1
"sub",0.11205933626429,0.118618484498364,0.206,0.136,1
"futsch",0.11719975641164,-0.550478037521928,0.35,0.285,1
"shot",0.120480649516743,0.150061593703919,0.246,0.186,1
"lncRNA:CR44268",0.125452914547145,0.225051754651218,0.219,0.182,1
"wor",0.129655942599506,0.753166908965773,0.229,0.165,1
"AcCoAS",0.13881369065952,-0.126542043438607,0.273,0.21,1
"RR48373-transposable-element",0.14293630324486,-0.388721356913591,0.227,0.191,1
"Blos3",0.146695120848218,0.186811716024961,0.23,0.172,1
"skl",0.148414957100839,-0.975271732350635,0.226,0.179,1
"Smyd4-4",0.150702329150582,0.18863855387696,0.198,0.129,1
"MsrA",0.151177582432688,-0.127647213728727,0.249,0.188,1
"CG15353",0.154888942087061,-0.31722880807407,0.212,0.166,1
"Paics",0.163178983114095,-0.14923773445737,0.231,0.179,1
"RpL30",0.18620733106191,0.103806514647568,0.846,0.752,1
"CG7339",0.189591377920891,0.103528308899578,0.135,0.073,1
"fipi",0.200670881738503,-0.132771366150007,0.251,0.193,1
"CG5174",0.200929749711157,0.124267521761111,0.184,0.141,1
"Notum",0.203071114699582,0.150711736292668,0.155,0.113,1
"Ald1",0.210562159432542,-0.451832863043628,0.483,0.439,1
"Pdi",0.214874326895651,-0.412020428203735,0.174,0.144,1
"Nplp4",0.216610610383342,-0.446080878477015,0.233,0.188,1
"Dph5",0.221453982136175,0.361531533722024,0.233,0.173,1
"Atpalpha",0.225771809657665,-0.429887700023333,0.373,0.327,1
"Idi",0.226890186488035,0.188086501272366,0.223,0.167,1
"CG42232",0.288086207758205,0.478596883991737,0.203,0.146,1
"rhea",0.299476570590117,-0.700436852188729,0.3,0.259,1
"Gapdh2",0.301189909564046,-0.447262871287148,0.447,0.398,1
"CG1552",0.301711002319912,-0.241160694877019,0.168,0.116,1
"RpL32",0.302712320931139,-0.175971650708473,0.936,0.879,1
"CycB3",0.309240373317141,0.243983206016652,0.167,0.105,1
"RnrS",0.319000647011977,0.173565101850456,0.247,0.206,1
