"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"His3.3B",3.58119057611298e-14,-2.19132113600984,0.243,0.558,4.5832076993094e-10,"atlas_1h_alh","His3.3B"
"hoip",7.68384660138078e-14,1.63154973138868,0.386,0.117,9.83378688044712e-10,"atlas_1h_alh","hoip"
"Vha36-3",1.24307114839165e-13,1.70564094961914,0.2,0.023,1.59088245571163e-09,"atlas_1h_alh","Vha36-3"
"Vha14-1",1.4700640436813e-13,1.34871521363572,0.621,0.314,1.88138796310333e-09,"atlas_1h_alh","Vha14-1"
"Moe",1.656101039559e-13,-2.05468307010396,0.093,0.43,2.1194781104276e-09,"atlas_1h_alh","Moe"
"E(spl)mbeta-HLH",1.96909589079626e-13,-2.82881720966223,0.007,0.314,2.52004892104105e-09,"atlas_1h_alh","E(spl)mbeta-HLH"
"ND-B16.6",1.97381298256872e-13,1.42739296797854,0.5,0.211,2.52608585509145e-09,"atlas_1h_alh","ND-B16.6"
"CG43085",2.07938945326699e-13,1.94977995017897,0.486,0.197,2.66120262229109e-09,"atlas_1h_alh","CG43085"
"ND-13A",3.84945476595128e-13,1.50779542155735,0.471,0.178,4.92653220946445e-09,"atlas_1h_alh","ND-13A"
"Pen",4.07696948457948e-13,-2.87043009707792,0.021,0.327,5.21770554636482e-09,"atlas_1h_alh","Pen"
"stg",4.46640053895607e-13,-2.64179156702681,0.014,0.32,5.71609940975597e-09,"atlas_1h_alh","stg"
"ND-19",4.7620626595059e-13,1.73469922140906,0.436,0.169,6.09448779163565e-09,"atlas_1h_alh","ND-19"
"CG41128",5.10647252165626e-13,1.44001909344991,0.579,0.314,6.53526353321569e-09,"atlas_1h_alh","CG41128"
"CG44325",8.76244950435112e-13,1.28650808062215,0.571,0.263,1.12141828756686e-08,"atlas_1h_alh","CG44325"
"ND-30",1.57409524374685e-12,1.46765721819857,0.357,0.11,2.01452709294721e-08,"atlas_1h_alh","ND-30"
"pros",1.62383019322713e-12,-3.91973719119468,0.007,0.295,2.07817788129208e-08,"atlas_1h_alh","pros"
